,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,1925863,搜索算法,上海,2018-04-18 10:08:13,19.0,78369,欧电云,上海欧电云信息科技有限公司,150-500人,浦东新区,本科,B轮,"电子商务,企业服务",121.581977,31.197071,全职,3-5年
1,3687241,搜索算法工程师,北京,2018-04-19 11:12:39,28.0,70,宝宝树,宝宝树（北京）信息技术有限公司,500-2000人,朝阳区,硕士,D轮及以上,社交网络,115.99339,39.99426,全职,1-3年
2,4038473,搜索算法工程师,北京,2018-04-19 09:17:06,28.0,1730,一下科技,炫一下（北京）科技有限公司,500-2000人,朝阳区,本科,D轮及以上,"移动互联网,文化娱乐",116.48919426,39.999364,全职,1-3年
3,3856033,搜索算法工程师,北京,2018-04-19 17:33:07,24.0,57049,InnoTREE,北京因果树网络科技有限公司,50-150人,海淀区,本科,B轮,金融,116.306683,39.984791,全职,不限
4,3901609,推荐/搜索算法工程师,广州,2018-04-19 09:49:33,19.0,20473,广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,2000人以上,白云区,硕士,不需要融资,电子商务,113.271506,23.175202,全职,3-5年
5,4142922,搜索算法/策略工程师,上海,2018-04-16 15:54:08,25.2,1499,学霸君,上海谦问万答吧云计算科技有限公司,150-500人,杨浦区,本科,C轮,"移动互联网,教育",121.51123519,31.30683942,全职,3-5年
6,4118493,搜索算法,广州,2018-04-17 17:32:57,26.0,250149,哆啦科技,广州哆啦信息科技有限公司,50-150人,海珠区,本科,A轮,"电子商务,移动互联网",113.314738,23.096588,全职,不限
7,2370585,搜索算法,杭州,2018-04-12 13:56:25,19.0,329,网易,网易（杭州）有限公司,2000人以上,滨江区,本科,上市公司,"电子商务,移动互联网",120.19229922,30.18797694,全职,3-5年
8,4305491,搜索算法工程师,北京,2018-04-19 11:43:23,19.0,62831,明略数据,北京明略软件系统有限公司,150-500人,海淀区,本科,C轮,数据服务,0.0,0.0,全职,1-3年
9,4240450,搜索算法工程师,杭州,2018-04-10 12:04:04,21.0,10359,酷家乐,杭州群核信息技术有限公司,500-2000人,拱墅区,本科,D轮及以上,移动互联网,120.108647,30.293154,全职,1-3年
10,4155351,搜索算法工程师,北京,2018-04-17 16:48:56,42.0,129068,阿博茨科技,北京阿博茨科技有限公司,50-150人,海淀区,本科,A轮,移动互联网,116.351927,40.010038,全职,3-5年
11,4340092,搜索算法工程师,北京,2018-04-16 18:20:47,38.0,8103,汽车之家,北京车之家信息技术有限公司,2000人以上,海淀区,本科,上市公司,"移动互联网,文化娱乐",116.311989,39.979473,全职,3-5年
12,2399016,搜索算法工程师/技术专家,北京,2018-04-18 10:19:19,33.0,50702,美团点评,北京三快在线科技有限公司,2000人以上,,本科,D轮及以上,"移动互联网,O2O",116.48762151,40.00609607,全职,3-5年
13,4431713,搜索算法工程师-厦门,厦门,2018-04-17 10:27:18,21.0,23291,美图公司,厦门美图之家科技有限公司,500-2000人,思明区,本科,上市公司,"移动互联网,硬件",118.180597,24.489868,全职,不限
14,4033318,搜索算法工程师,北京,2018-03-27 09:19:24,45.0,4760,唯品会,唯品会（中国）有限公司,2000人以上,朝阳区,本科,上市公司,电子商务,0.0,0.0,全职,5-10年
15,4277196,搜索算法工程师,杭州,2018-04-10 12:04:02,24.8,10359,酷家乐,杭州群核信息技术有限公司,500-2000人,拱墅区,不限,D轮及以上,移动互联网,120.108647,30.293154,全职,3-5年
16,4320800,搜索算法专家,北京,2018-04-18 16:52:14,42.0,129068,阿博茨科技,北京阿博茨科技有限公司,50-150人,海淀区,本科,A轮,移动互联网,116.353966,40.008635,全职,5-10年
17,3167431,搜索算法工程师,北京,2018-04-12 14:20:50,35.0,62,字节跳动,北京字节跳动科技有限公司,2000人以上,海淀区,本科,C轮,"移动互联网,数据服务",116.332602,39.971268,全职,1-3年
18,3369770,搜索算法工程师,上海,2018-04-19 11:33:32,27.2,50702,美团点评,北京三快在线科技有限公司,2000人以上,长宁区,本科,D轮及以上,"移动互联网,O2O",121.424421,31.212351,全职,3-5年
19,4407856,搜索算法,北京,2018-04-17 17:22:02,35.0,262067,博美科技,北京博美科技有限公司,150-500人,海淀区,不限,未融资,"电子商务,移动互联网",116.337742,39.992894,全职,不限
20,3433204,搜索算法工程师,北京,2018-04-10 10:15:04,35.0,329,网易,网易（杭州）有限公司,2000人以上,海淀区,硕士,上市公司,"电子商务,移动互联网",116.275949,40.042894,全职,3-5年
21,4431753,搜索算法工程师-北京,北京,2018-04-17 10:29:46,21.0,23291,美图公司,厦门美图之家科技有限公司,500-2000人,海淀区,本科,上市公司,"移动互联网,硬件",116.330291,39.993117,全职,不限
22,4293004,优酷-搜索算法工程师,北京,2018-04-11 18:35:23,21.6,216917,阿里文娱,大鱼快乐有限公司,2000人以上,海淀区,本科,上市公司,"文化娱乐,移动互联网",116.312183,39.981536,全职,3-5年
23,4431825,搜索算法负责人,北京,2018-04-18 11:29:59,34.0,34573,省钱快报,北京九州云动科技有限公司,50-150人,东城区,硕士,B轮,"移动互联网,电子商务",116.4119,39.947795,全职,3-5年
24,1829854,搜索算法工程师,上海,2018-04-17 16:31:15,25.2,30830,哔哩哔哩,上海幻电信息科技有限公司,2000人以上,浦东新区,本科,上市公司,"移动互联网,文化娱乐",121.52479993,31.2398197,全职,不限
25,4398413,搜索算法工程师,北京,2018-04-16 20:41:55,25.2,10369,完美世界,完美世界（北京）软件科技发展有限公司,2000人以上,朝阳区,本科,上市公司,"移动互联网,游戏",116.42886,40.005201,全职,1-3年
26,4309599,搜索算法工程师,北京,2018-04-16 11:05:02,21.0,328,考拉FM,众联智领科技（北京）有限公司,150-500人,海淀区,本科,C轮,移动互联网,116.30456,39.986608,全职,1-3年
27,4352610,搜索算法工程师,北京,2018-03-30 15:18:36,21.0,355321,天工矩阵,北京天工矩阵信息技术有限公司,50-150人,大兴区,本科,A轮,"电子商务,企业服务",116.350816,39.762254,全职,3-5年
28,4346758,搜索研发/搜索算法工程师,上海,2018-04-18 14:07:26,28.0,6542,小红书,行吟信息科技（上海）有限公司,500-2000人,黄浦区,本科,C轮,"生活服务,电子商务",121.474566,31.215085,全职,1-3年
29,4435931,搜索算法工程师,杭州,2018-04-17 16:15:33,24.0,32828,凡闻,杭州凡闻科技有限公司,50-150人,西湖区,本科,B轮,移动互联网,120.060916,30.247446,全职,3-5年
30,2629628,搜索算法高级工程师/技术专家,北京,2018-04-18 10:19:20,38.0,50702,美团点评,北京三快在线科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.48762151,40.00609607,全职,3-5年
31,4036648,蚂蚁金服-搜索算法工程师/机器学习专家,杭州,2018-04-11 15:17:41,28.0,153849,蚂蚁金服集团,支付宝(杭州)信息技术有限公司,2000人以上,西湖区,本科,B轮,"金融,移动互联网",120.125788,30.272627,全职,不限
32,3853266,高级搜索算法工程师,北京,2018-04-17 10:16:55,28.0,285057,糖豆,小糖互联（北京）网络科技有限公司,50-150人,海淀区,本科,B轮,"社交网络,文化娱乐",116.35446,39.9881,全职,3-5年
33,3415278,资深搜索算法工程师,杭州,2018-04-16 19:56:52,21.0,329,网易,网易（杭州）有限公司,2000人以上,滨江区,本科,上市公司,"电子商务,移动互联网",120.192295,30.188393,全职,3-5年
34,3876455,高级搜索算法工程师,北京,2018-04-19 08:59:34,28.0,6927,OPPO,广东欧珀移动通信有限公司,2000人以上,海淀区,本科,不需要融资,移动互联网,116.306343,39.981797,全职,3-5年
35,4339911,高级搜索算法工程师（搜索组）,北京,2018-04-16 11:06:48,34.0,8103,汽车之家,北京车之家信息技术有限公司,2000人以上,海淀区,本科,上市公司,"移动互联网,文化娱乐",116.311989,39.979473,全职,3-5年
36,4135296,搜索算法工程师,杭州,2018-04-16 08:47:05,31.0,23573,厦门市云客网络科技有限公司,厦门市云客网络科技有限公司,50-150人,余杭区,本科,天使轮,"移动互联网,电子商务",120.00487,30.292227,全职,3-5年
37,2168285,搜索算法,北京,2018-04-09 10:29:09,58.0,2494,凤凰网,凤凰飞扬（北京）新媒体信息技术有限公司,2000人以上,朝阳区,本科,上市公司,移动互联网,116.49195008,40.00530985,全职,3-5年
38,2282896,搜索算法开发经理,上海,2018-04-19 15:06:21,28.0,24995,泛微,上海泛微网络科技股份有限公司,2000人以上,浦东新区,本科,上市公司,"移动互联网,企业服务",121.47837999,31.17095985,全职,3-5年
39,3868174,高级搜索算法工程师,上海,2018-04-19 17:10:30,27.2,49363,Coupang,韩领网络科技（上海）有限公司,150-500人,浦东新区,本科,不需要融资,"移动互联网,O2O",116.472822,40.002222,全职,5-10年
40,1302853,搜索算法工程师,北京,2018-04-11 17:40:54,29.0,436,360,奇虎360科技有限公司,2000人以上,朝阳区,本科,上市公司,"移动互联网,游戏",116.49012,39.98343006,全职,3-5年
41,3795956,搜索算法工程师,北京,2018-04-13 10:25:36,28.0,1686,爱奇艺,北京爱奇艺科技有限公司,2000人以上,海淀区,本科,D轮及以上,"广告营销,文化娱乐",116.313228,39.983752,全职,3-5年
42,4100708,搜索算法高级工程师,北京,2018-04-16 11:05:02,35.0,328,考拉FM,众联智领科技（北京）有限公司,150-500人,海淀区,本科,C轮,移动互联网,116.30456,39.986608,全职,3-5年
43,3202590,机器学习/推荐算法/搜索算法/NLP,北京,2018-04-13 19:44:58,31.0,102322,百度外卖,北京小度信息科技有限公司,2000人以上,海淀区,本科,不需要融资,"移动互联网,O2O",116.308398,40.038545,全职,3-5年
44,1216020,高级搜索算法工程师,北京,2018-04-18 14:20:11,21.0,22139,第三石科技,北京第三石科技发展有限公司,50-150人,朝阳区,本科,B轮,"移动互联网,电子商务",,,全职,3-5年
45,2889102,资深搜索算法工程师,杭州,2018-04-09 10:34:44,21.0,329,网易,网易（杭州）有限公司,2000人以上,滨江区,硕士,上市公司,"电子商务,移动互联网",120.192299,30.187977,全职,3-5年
46,3862946,高级搜索算法工程师,上海,2018-04-19 17:10:30,24.8,49363,Coupang,韩领网络科技（上海）有限公司,150-500人,浦东新区,本科,不需要融资,"移动互联网,O2O",121.60192,31.20621,全职,不限
47,2116195,搜索算法,北京,2018-04-08 14:09:00,24.0,1686,爱奇艺,北京爱奇艺科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"广告营销,文化娱乐",116.63682446,39.98832845,全职,不限
48,4304463,搜索算法工程师,上海,2018-03-22 09:38:35,25.2,1499,学霸君,上海谦问万答吧云计算科技有限公司,150-500人,杨浦区,本科,C轮,"移动互联网,教育",121.51123519,31.30683942,全职,3-5年
49,4222340,搜索算法开发工程师-平台事业部,北京,2018-04-13 10:02:24,26.0,1970,去哪儿网,北京趣拿软件科技有限公司,2000人以上,海淀区,本科,不需要融资,移动互联网,116.30572973,39.97727051,全职,3-5年
50,4143318,搜索算法工程师,上海,2018-04-19 11:54:34,35.0,107784,拼多多,上海寻梦信息技术有限公司,500-2000人,长宁区,本科,C轮,"电子商务,移动互联网",121.402636,31.208967,全职,3-5年
51,4379863,高级搜索算法工程师/高级架构师,北京,2018-04-16 10:18:58,25.2,22139,第三石科技,北京第三石科技发展有限公司,50-150人,朝阳区,本科,B轮,"移动互联网,电子商务",116.480665,39.996404,全职,3-5年
52,4246967,搜索算法工程师,武汉,2018-04-17 15:43:34,25.2,520,小米,北京小米科技有限责任公司,2000人以上,江夏区,硕士,D轮及以上,移动互联网,114.429203,30.455749,全职,3-5年
53,3724452,搜索算法工程师,北京,2018-04-02 10:39:22,17.0,16977,敦煌网,世纪禾光科技发展（北京）有限公司,500-2000人,海淀区,本科,D轮及以上,电子商务,116.33893,39.99234,全职,3-5年
54,4184184,搜索算法高级工程师/技术专家-外卖,北京,2018-04-17 10:37:00,28.0,50702,美团点评,北京三快在线科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.48776,40.008007,全职,3-5年
55,3135103,NLP/ML/搜索算法,杭州,2018-04-16 09:43:24,28.0,205354,同花顺,浙江同花顺基金销售有限公司,2000人以上,余杭区,本科,上市公司,"移动互联网,金融",120.045424,30.291923,全职,1-3年
56,3999181,搜索算法工程师,北京,2018-03-26 11:42:48,38.0,3328,好未来,北京世纪好未来教育科技有限公司,2000人以上,海淀区,本科,上市公司,"移动互联网,教育",116.316949,39.983015,全职,3-5年
57,4195780,高德-高级搜索算法工程师/架构师,北京,2018-03-20 16:21:03,38.0,91,阿里巴巴—高德,高德软件有限公司,2000人以上,朝阳区,本科,上市公司,移动互联网,116.47357501,39.99295806,全职,3-5年
