,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4399609,图像处理,北京,2018-04-28 13:39:10,28.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,博士,B轮,其他,116.357353,39.939211,全职,3-5年,"['股票期权', '高成长', '云服务', '高并发']"
1,2567485,图像处理与分析算法工程师,杭州,2018-04-27 09:54:51,19.0,35559,亲宝宝,杭州点望科技有限公司,150-500人,西湖区,硕士,B轮,"移动互联网,社交网络",120.097412,30.266811,全职,1-3年,"['技能培训', '节日礼物', '股票期权', '扁平管理']"
2,3419176,图像处理工程师,北京,2018-04-27 10:57:49,28.0,129,陌陌,北京陌陌科技有限公司,500-2000人,朝阳区,大专,上市公司,社交网络,115.99339,39.99426,全职,3-5年,"['岗位晋升', '帅哥多', '管理规范', '技能培训']"
3,3943432,【OpenCV/图像处理/图像算法工程师】,武汉,2018-04-18 11:29:39,14.0,277312,微晟,微晟（武汉）技术有限公司,15-50人,洪山区,本科,不需要融资,"移动互联网,硬件",114.412546,30.500298,全职,1-3年,"['年底双薪', '年终分红', '交通补助', '领导好']"
4,4160993,图像处理,上海,2018-04-25 09:16:01,21.0,150654,信号旗,信号旗智能科技（上海）有限公司,15-50人,浦东新区,硕士,A轮,数据服务,121.605683,31.178004,全职,3-5年,"['领导好', '股票期权', '弹性工作', '绩效奖金']"
5,4412127,图像处理,昆明,2018-04-12 15:44:29,7.0,300659,匠品科技,匠品科技（深圳）有限公司,15-50人,官渡区,本科,天使轮,"移动互联网,电子商务",102.725917,25.025756,全职,不限,"['""""']"
6,3979817,图像处理Leader,北京,2018-04-27 11:18:12,35.0,62831,明略数据,北京明略软件系统有限公司,150-500人,海淀区,硕士,C轮,数据服务,116.330747,39.9947,全职,3-5年,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']"
7,3597682,图像处理工程师,北京,2018-04-27 11:15:42,19.0,28393,爱云校,北京修齐治平科技有限公司,500-2000人,朝阳区,本科,C轮,"教育,数据服务",116.481459,39.99646,全职,1-3年,"['技能培训', '节日礼物', '股票期权', '带薪年假']"
8,4249164,图像处理工程师,北京,2018-04-26 10:16:34,21.0,21474,必要商城,珠海随变科技有限公司,50-150人,朝阳区,本科,不需要融资,电子商务,115.99339,39.99426,全职,3-5年,"['商业医疗保险', '带薪年假', '扁平管理', '下午茶']"
9,4036075,图像处理,北京,2018-04-20 22:37:50,14.0,284680,北京艳江科技,北京艳江科技发展有限公司,15-50人,昌平区,本科,天使轮,硬件,,,全职,1-3年,"['""""']"
10,3678626,图像处理工程师,北京,2018-04-25 15:16:28,35.0,329,网易,网易（杭州）有限公司,2000人以上,海淀区,硕士,上市公司,"电子商务,移动互联网",115.99339,39.99426,全职,3-5年,"['节日礼物', '技能培训', '免费班车', '带薪年假']"
11,2711007,图像处理工程师,青岛,2018-04-11 16:39:35,12.6,112945,青岛鼎信,青岛鼎信通讯股份有限公司,2000人以上,市南区,本科,上市公司,其他,120.415547,36.076209,全职,不限,"['年底双薪', '午餐补助', '通讯津贴', '定期体检']"
12,4462607,图像处理研究员,深圳,2018-04-28 11:01:39,25.2,40459,商汤科技,北京市商汤科技开发有限公司,500-2000人,南山区,本科,B轮,移动互联网,113.920038,22.494927,全职,1-3年,"['五险一金', '弹性工作', '丰盛三餐', '发展空间大']"
13,3267061,视觉/图像处理研究员,北京,2018-04-25 14:20:42,38.0,50702,美团点评,北京三快在线科技有限公司,2000人以上,朝阳区,硕士,D轮及以上,"移动互联网,O2O",116.48864,40.007096,全职,5-10年,"['技能培训', '绩效奖金', '岗位晋升', '领导好']"
14,4277644,图像处理开发工程师,北京,2018-04-28 11:08:08,21.0,4128,知乎,北京智者天下科技有限公司,500-2000人,海淀区,本科,D轮及以上,"移动互联网,社交网络",116.350094,40.007985,全职,1-3年,"['年底双薪', '股票期权', '带薪年假', '定期体检']"
